Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Tcr Tecora Srl (Cogliate),02 33003427,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricita', gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 26.51.29 Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricita', gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori) | fatturato 2.609.397 EUR (2024) | dipendenti da 20 a 49 | 4 km da Seveso | Via Delle Primule, 16 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/tcr-tecora-srl-10418840962 | telefono: PG «tcr tecora» in cogliate → Tcr Tecora S.r.l. | Via delle Primule, 16 - 20815 Cogliate (MB)",
Acciai Brianza S.p.a. (Desio),0362 287793,Ingrosso e distribuzione,"Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.72.1 Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati | fatturato 26.236.215 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Da Desio F., 0053 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/acciai-brianza-spa-02739150155 | telefono: PG «acciai brianza» in desio → Acciai Brianza S.r.l. | Via Filippo da Desio, 53 - 20832 Desio (MB)",
Rail Cargo Logistics - Terminals Italy S.r.l. (Desio),"0362 48041, 0362 276858",Logistica e trasporti,Servizi logistici relativi alla distribuzione delle merci,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 52.29.22 Servizi logistici relativi alla distribuzione delle merci | fatturato 12.701.186 EUR (2024) | dipendenti da 50 a 99 | 6 km da Seveso | Via Filippo Da Desio, 81 - | GANCIO: Giri di consegna e stato del carico senza telefonate al magazzino | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/rail-cargo-logistics-terminals-italy-srl-05930450969 | telefono: PG «rail cargo logistics terminals» in desio → Rail Cargo Logistics - Terminals Italy S.r.l. | Via Filippo da Desio, 81 - 20832 Desio (MB)",
Nazionale Trasporti S.r.l. (Desio),"0362 621424, 0362 337336, 039 790429",Logistica e trasporti,Trasporto di merci su strada,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.41 Trasporto di merci su strada | fatturato 7.440.479 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Alcide De Gasperi, 21 - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/nazionale-trasporti-srl-04322540966 | telefono: PG «nazionale trasporti» in desio → Nazionale Trasporti S.r.l. | Via De Gasperi Alcide, 21 - 20832 Desio (MB)",
La Briantea Servizi Societa' Cooperativa (Desio),0362 825272,Logistica e trasporti,Trasporto di merci su strada,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.41 Trasporto di merci su strada | fatturato 7.065.480 EUR (ultimo bilancio) | dipendenti n.d. | 6 km da Seveso | Via Rossini, 139 - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/la-briantea-servizi-societa-cooperativa-08632810969 | telefono: PG «briantea servizi» in desio → La Briantea Servizi Societa' Cooperativa | Via Rossini Giacomo, 139 - 20832 Desio (MB)",
Autotrasporti Zambonin S.r.l. (Desio),"0362 621355, 0362 638670, 335 7850586",Logistica e trasporti,Trasporto di merci su strada,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.41 Trasporto di merci su strada | fatturato 3.871.981 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via San Vincenzo, 16 - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/autotrasporti-zambonin-srl-02643280965 | telefono: PG «autotrasporti zambonin» in desio → Autotrasporti Zambonin Sas | Via San Vincenzo De' Paoli, 16 - 20832 Desio (MB)",
Cras Elettromeccanica S.r.l. (Desio),"0362 331050, 0362 305996, 0362 828049, 0362 828913",Impiantistica e cantieri,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.21.01 Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione) | fatturato 3.688.723 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Dei Lavoratori Autobianchi, 1 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/cras-elettromeccanica-srl-05595400960 | telefono: PG «cras elettromeccanica» in desio → Cras Elettromeccanica S.r.l. | Via Lavoratori Autobianchi, 1 - 20832 Desio (MB)",
Termoidraulica Bragato Srl (Desio),0362 628886,Impiantistica e cantieri,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.22.01 Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione | fatturato 2.775.755 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Viale Degli Artigiani, 20 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/termoidraulica-bragato-srl-09752950965 | telefono: PG «termoidraulica bragato» in desio → Termoidraulica Bragato | Viale degli Artigiani, 20 - 20832 Desio (MB)",
Gestione Servizi Desio S.r.l. (Desio),0362 630630,Impiantistica e cantieri,Altri lavori di costruzione e installazione nca,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.29.09 Altri lavori di costruzione e installazione nca | fatturato 1.517.525 EUR (2024) | dipendenti da 6 a 9 | 6 km da Seveso | Via Giuseppe Giusti, 36 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/gestione-servizi-desio-srl-02735890960 | telefono: PG «gestione servizi desio» in desio → Gestione Servizi Desio S.r.l. | Via Giusti Giuseppe, 36 - 20832 Desio (MB)",
A.t.f. Arienti Trasporti Ferroviari Srl (Desio),0362 300618,Logistica e trasporti,Trasporto di merci su strada,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.41 Trasporto di merci su strada | fatturato 1.321.813 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Rossa G., 0015 - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/atf-arienti-trasporti-ferroviari-srl-01926800150 | telefono: PG «arienti trasporti ferroviari» in desio → A.T.F. Arienti Trasporti Ferroviari | Via Filippo da Desio, 56 - 20832 Desio (MB)",
C.matic S.p.a. (Giussano),"0362 932498, 0362 805246, 0362 853716",Metalmeccanica e officine,Fabbricazione di altri articoli metallici e minuteria metallica nca,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.99.99 Fabbricazione di altri articoli metallici e minuteria metallica nca | fatturato 21.933.280 EUR (2024) | dipendenti da 50 a 99 | 7.5 km da Seveso | Via Matteotti, 32 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/cmatic-spa-09025070153 | telefono: PG «matic» in giussano → C-Matic | Via Matteotti Giacomo, 32 - 20833 Giussano (MB)",
Frigerio Trasporti Srl (Giussano),0362 351162,Logistica e trasporti,Altre attività di trasporti terrestri di passeggeri nca,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.39.09 Altre attività di trasporti terrestri di passeggeri nca | fatturato 7.269.174 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Via Vigano', 0005 - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/frigerio-trasporti-srl-02079740151 | telefono: PG «frigerio trasporti» in giussano → Frigerio Trasporti S.r.l. | Via Viganò Ambrogio, 5 - 20833 Giussano (MB)",
Autotrasporti Pasqual Mario Srl (Giussano),0362 861164,Logistica e trasporti,Trasporto di merci su strada,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.41 Trasporto di merci su strada | fatturato 3.487.680 EUR (2024) | dipendenti da 16 a 19 | 7.5 km da Seveso | Via Petrarca, 29 - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/autotrasporti-pasqual-mario-srl-02131910966 | telefono: PG «autotrasporti pasqual mario» in giussano → Autotrasporti Pasqual Mario S.r.l. | Via Francesco Petrarca, 29 A - 20833 Giussano (MB)",
Ponzini -spa (Lazzate),02 9630941,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri articoli in materie plastiche nca,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.29.09 Fabbricazione di altri articoli in materie plastiche nca | fatturato 56.217.900 EUR (2024) | dipendenti da 250 a 499 | 5 km da Seveso | Via Vittorio Veneto, 64 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/ponzini-spa-00859210155 | telefono: PG «ponzini» in lazzate → Ponzini S.p.a. | Via Vittorio Veneto, 64/68 - 20824 Lazzate (MB)",
Mg Serrature Srl (Lazzate),"351 3464162, 366 4106330",Metalmeccanica e officine,Fabbricazione di serrature e cerniere,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.72 Fabbricazione di serrature e cerniere | fatturato 5.070.718 EUR (2024) | dipendenti da 20 a 49 | 5 km da Seveso | Via Monte Rosa, 29/31 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/mg-serrature-srl-06809440156 | telefono: PG «serrature» in lazzate → Mg Serrature S.r.l. | Via Monte Rosa, 29/31 - 20824 Lazzate (MB)",
Sipro Srl (Lentate sul Seveso),0362 542252,Metalmeccanica e officine,Fabbricazione di macchine di impiego generale ed altro materiale meccanico nca,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.29.9 Fabbricazione di macchine di impiego generale ed altro materiale meccanico nca | fatturato 13.876.914 EUR (2024) | dipendenti da 20 a 49 | 4 km da Seveso | Via Privata Natta G., 3 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/sipro-srl-08221080156 | telefono: PG «sipro» in lentate sul seveso → Sipro S.r.l. | Via Privata Natta Giulio, 3 - 20823 Lentate sul Seveso (MB)",
Alimentari Radice S.r.l. (Lentate sul Seveso),0362 57721,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Lavorazione e conservazione di carne e produzione di prodotti a base di carne,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 10.1 Lavorazione e conservazione di carne e produzione di prodotti a base di carne | fatturato 8.832.265 EUR (2024) | dipendenti da 20 a 49 | 4 km da Seveso | Via G.natta, 24 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/alimentari-radice-srl-04622420158 | telefono: PG «alimentari radice» in lentate sul seveso → Alimentari Radice S.r.l. | Via Giulio Natta, 24 - 20823 Lentate sul Seveso (MB)",
Electronic System S.r.l. (Lentate sul Seveso),0362 557453,Impiantistica e cantieri,Installazione di impianti elettronici (inclusa manutenzione e riparazione),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.21.02 Installazione di impianti elettronici (inclusa manutenzione e riparazione) | fatturato 1.640.276 EUR (2024) | dipendenti da 10 a 15 | 4 km da Seveso | Via Trilussa, 12 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/electronic-system-srl-05947500962 | telefono: PG «electronic system» in lentate sul seveso → Electronic System | Via Trilussa, 12 - 20823 Lentate sul Seveso (MB)",
Crv Sistemi S.r.l. (Limbiate),02 91081984,Impiantistica e cantieri,Installazione di impianti elettronici (inclusa manutenzione e riparazione),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.21.02 Installazione di impianti elettronici (inclusa manutenzione e riparazione) | fatturato 3.498.466 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Leone Tolstoj, 73 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/crv-sistemi-srl-04916990965 | telefono: PG «crv sistemi» in limbiate → Crv Sistemi S.r.l. | Via Tolstoi Leone, 73 - 20812 Limbiate (MB)",
Idroclima Service S.r.l. (Limbiate),02 38295330,Impiantistica e cantieri,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.22.01 Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione | fatturato 2.652.247 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Guglielmo Marconi, 33 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/idroclima-service-srl-10242540960 | telefono: PG «idroclima service» in limbiate → Idroclima Service | Via Guglielmo Marconi, 33 - 20812 Limbiate (MB)",
Dama Chemical S.r.l. (Limbiate),"02 46514392, 02 85683266, 02 85687518",Logistica e trasporti,Magazzini di custodia e deposito per conto terzi,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 52.10.1 Magazzini di custodia e deposito per conto terzi | fatturato 1.908.555 EUR (2024) | dipendenti da 6 a 9 | 6 km da Seveso | Via Ii Giugno, 7 - | GANCIO: Giri di consegna e stato del carico senza telefonate al magazzino | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/dama-chemical-srl-09142640961 | telefono: PG «dama chemical» in limbiate → Dama Chemical S.r.l. | Via II Giugno, 7 - 20812 Limbiate (MB)",
Galimberti Natale Srl (Limbiate),02 99051859,Logistica e trasporti,Magazzini di custodia e deposito per conto terzi,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 52.10.1 Magazzini di custodia e deposito per conto terzi | fatturato 1.589.695 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Guglielmo Marconi, 0003 - | GANCIO: Giri di consegna e stato del carico senza telefonate al magazzino | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/galimberti-natale-srl-01556960159 | telefono: PG «galimberti natale» in limbiate → Galimberti Natale S.r.l. | Via Marconi Guglielmo, 3 - 20812 Limbiate (MB)",
Ma.sc. Impianti Srl (Limbiate),02 99050232,Impiantistica e cantieri,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.21.01 Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione) | fatturato 1.186.286 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Carlo Pascal, 2/BIS - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/masc-impianti-srl-05204440969 | telefono: PG «impianti» in limbiate → A3 Impianti S.r.l. | Via Isonzo, 1 - 20812 Limbiate (MB)",
Engico Srl (Lissone),039 2457847,Metalmeccanica e officine,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.99.1 Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori) | fatturato 20.765.118 EUR (2024) | dipendenti da 50 a 99 | 8 km da Seveso | Via Adamello, 3 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/engico-srl-02057150969 | telefono: PG «engico» in lissone → Engico S.r.l. | Via Adamello, 3 - 20851 Lissone (MB)",
Mollificio Renzo Scotti Srl (Lissone),039 2458422,Metalmeccanica e officine,Fabbricazione di molle,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.93.2 Fabbricazione di molle | fatturato 5.638.954 EUR (2024) | dipendenti da 20 a 49 | 8 km da Seveso | Via Da Lissone P., 0059 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/mollificio-renzo-scotti-srl-01067740157 | telefono: PG «mollificio renzo scotti» in lissone → Mollificio Renzo Scotti S.r.l. | Via Pietro da Lissone, 59 - 20851 Lissone (MB)",
Esa S.p.a. (Mariano Comense),031 757400,Metalmeccanica e officine,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 33.20.03 Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali) | fatturato 15.264.049 EUR (2024) | dipendenti da 50 a 99 | 7 km da Seveso | Via Padre Masciadri, 4/A - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/esa-spa-13464240152 | telefono: PG «esa» in mariano comense → Esa S.p.a. | Via Masciadri Padre Giuseppe, 4/A - 22066 Mariano Comense (CO)",
Rattiinox Srl (Mariano Comense),"031 3551263, 031 3554509, 031 3551876",Metalmeccanica e officine,Fabbricazione di altri rubinetti e valvole,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.14 Fabbricazione di altri rubinetti e valvole | fatturato 6.597.090 EUR (2024) | dipendenti da 20 a 49 | 7 km da Seveso | Via Mascagni, 10/12 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/rattiinox-srl-02349500963 | telefono: PG «rattiinox» in mariano comense → Rattiinox S.r.l. | Via Mara, 44/10A/10B - 22066 Mariano Comense (CO)",
Giacomelli Giardini S.r.l. (Mariano Comense),031 747452,Pulizie e servizi strutturati,Cura e manutenzione del paesaggio,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Pulizie e servizi strutturati | ATECO 81.3 Cura e manutenzione del paesaggio | fatturato 1.345.967 EUR (2024) | dipendenti da 6 a 9 | 7 km da Seveso | Via Per Arosio, 16 - | GANCIO: Turni multi-cantiere: chi va dove domani, sostituzioni e ore comprese | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/giacomelli-giardini-srl-03816330132 | telefono: PG «giacomelli giardini» in mariano comense → Giacomelli Giardini | Via per Arosio, 16 - 22066 Mariano Comense (CO)",
Termomarket S.r.l. (Meda),0362 34831,Ingrosso e distribuzione,"Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.74.2 Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento | fatturato 24.590.057 EUR (2024) | dipendenti da 50 a 99 | 3 km da Seveso | Via Piave, 34 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/termomarket-srl-12133140967 | telefono: PG «termomarket» in meda → Termomarket Srl | Via Piave, 34 - 20821 Meda (MB)",
Kingmeda S.r.l. (Meda),"0362 1860064, 0362 1860067",Autoriparazione e ricambi,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Autoriparazione e ricambi | ATECO 45.11.01 Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri | fatturato 22.397.509 EUR (2024) | dipendenti da 20 a 49 | 3 km da Seveso | Via Indipendenza, 124 - | GANCIO: Scheda intervento e ricambi: dall'accettazione alla fattura senza riscrivere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/kingmeda-srl-08921440965 | telefono: PG «kingmeda» in meda → Kingmeda S.r.l. | Via Indipendenza, 124 - 20821 Meda (MB)",
Zanaboni S.r.l. (Meda),0362 340801,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di poltrone e divani,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.3 Fabbricazione di poltrone e divani | fatturato 5.937.742 EUR (2024) | dipendenti da 20 a 49 | 3 km da Seveso | Via Del Lavoro, 13/15 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/zanaboni-srl-04941870968 | telefono: PG «zanaboni» in meda → Zanaboni S.r.l. | Via del Lavoro, 13 - 20821 Meda (MB)",
Elbo Controlli S.r.l. (Meda),0362 342745,Metalmeccanica e officine,"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici)",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.29.93 Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici) | fatturato 5.398.476 EUR (2024) | dipendenti da 20 a 49 | 3 km da Seveso | Via San Giorgio, 21 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/elbo-controlli-srl-06827360154 | telefono: PG «elbo controlli» in meda → Elbo Controlli S.r.l. | Via San Giorgio, 21 - 20821 Meda (MB)",
