comune,km,nome,piva,settore,ateco,attivita,fatturato,anno,personale,dipendenti,indirizzo,prova
Milano,20.3,EFFE SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11814300965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1940287,2023,1622598,da 10 a 15,"Via Alessandro Tadino, 29","PG «effe servizi» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DNP PHOTO IMAGING ITALY S.R.L.,10080620965,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1896257,2024,641708,da 6 a 9,"Via Pietro Giannone, 9","PG «dnp photo imaging italy» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DG EXPRESS S.R.L.,07599710964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1860081,2024,1101114,da 20 a 49,"Corso Indipendenza, 5","PG «dg express» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,KABUKI S.R.L.,06484060964,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1819158,2024,119773,da 3 a 5,"Piazza Grandi Giuseppe, 3","PG «kabuki» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,PRIMALOG SOCIETA' COOPERATIVA,09469880968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1735901,,,,"Viale Monza, 347","PG «primalog» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,P.L.M. SRL PULIZIE LOGISTICA MOVIMENTAZIONE,01619860537,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1667801,2020,1282747,1,"Viale Abruzzi, 13/A","PG «plm pulizie logistica movimentazione» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LYBRA LOGISTICS S.R.L.S.,11248910967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1653706,2022,1341500,da 10 a 15,"Viale Lodovico Scarampo, 49","PG «lybra logistics» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,NUCLEO OPERATIVO SOCIETA' COOPERATIVA A R.L.,10361350969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1640817,,,,"Viale Lodovico Scarampo, 49","PG «nucleo operativo» in milano: 4 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SELMA SRL,13182390966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1637669,2024,419891,da 20 a 49,"Via Agostino De Pretis, 100","PG «selma» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,NEW GMA SOCIETA' COOPERATIVA,10890550964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1584416,,,,"Via Comune Antico, 65","PG «new gma» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,L.G. LOGISTICA SOCIETA' COOPERATIVA,03545130167,Facchinaggio,52.24,Movimentazione merci,1530123,,,,"Piazza Iv Novembre, 4","PG «lg logistica» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MUSICLAB MILANO S.R.L.,09906750964,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1497099,2024,126810,da 3 a 5,"Piazza Santo Stefano, 6","PG «musiclab milano» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,FIVE SEASONS SRL,12150480965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1496815,2023,503655,da 20 a 49,"Largo Fratelli Cervi, SNC","PG «five seasons» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,OPERAZIONE LAVORO SOCIETA' COOPERATIVA A  R. L.,08847650960,Facchinaggio,52.24,Movimentazione merci,1477122,,,,"Viale Carlo Troya, 9","PG «operazione lavoro» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DSOLUTIONS AND SERVICE SOCIETA' COOPERATIVA,11337930967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1428314,,,,"Via Monte Rosa, 21","PG «dsolutions service» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MOVIMENTAZIONE INTEGRATA SOCIETA' COOPERATIVA,09292470961,Facchinaggio,52.24,Movimentazione merci,1423952,,,,"Via Calatafimi, 12","PG «movimentazione integrata» in milano: 2 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,TECNODOME S.R.L.,09254940969,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1410141,2024,154485,da 3 a 5,"Viale Biancamaria, 22","PG «tecnodome» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,KATRINE S.R.L.,10931640964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1401268,2021,,2,"Via Filippo Argelati, 10","PG «katrine» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,AVIOR  - SOCIETA' COOPERATIVA,09727280969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1388373,,,,"Piazza Iv Novembre, 4","PG «avior» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ALTA ITALIA SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA ABBREVIATA ALTA ITALIA SOC. COOP. A R.L.,08415010969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1385351,,,,"Foro Buonaparte, 56","PG «alta italia alta italia» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SABRE LOG SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,12515640964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1352706,2024,1416487,2,"Viale Monza, 1","PG «sabre log» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,VITULIA SRL,10644600966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1263239,2024,724943,da 20 a 49,"Via Menabrea Luigi Federico, 14","PG «vitulia» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,AMICOFOOD SRL,12504500963,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1230020,2024,310220,,"Piazza Quattro Novembre, 4","PG «amicofood» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SACI PROJECT S.R.L.,05459770722,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1176063,2024,128545,da 3 a 5,"Piazza Quattro Novembre, 4","PG «saci project» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,COOPERATIVA EMMEVI A R.L.,07237660969,Facchinaggio,52.24,Movimentazione merci,1098331,,,,"Via Fantoli Gaudenzio, 28/15","PG «emmevi» in milano: 3 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SERVIZIORAPIDO SRLS,11544110965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1078128,2022,721456,da 10 a 15,"Via Hermada, 19","PG «serviziorapido» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,NCE MULTIMEDIA S.r.l.,05949690969,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1050795,2024,171893,da 3 a 5,"Via Tertulliano, 70","PG «nce multimedia» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MOVILOG SOCIETA' COOPERATIVA A MUTUALITA' PREVALENTE,10305070962,Facchinaggio,52.24,Movimentazione merci,1048497,,,,"Viale Premuda, 46","PG «movilog mutualita prevalente» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,M2F S.R.L.,08234120965,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1046360,2023,,1,"Via Crocefisso, 8","PG «m2f» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SERVIZI LOGISTICI MILANO S.R.L.,09591880969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1013511,2023,731213,da 10 a 15,"Corso Buenos Aires, 56","PG «servizi logistici milano» in milano: 10 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,PROCOSMO S.R.L.,06989540965,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1002812,2024,168623,da 6 a 9,"Via Dal Verme Jacopo, 7","PG «procosmo» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,COMPANY GROUP SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11070480964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,996134,2024,74757,da 6 a 9,"Via Gaspare Spontini, 5","PG «company group» in milano: 2 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LAVORO E SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,10788770963,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,993392,2020,484614,nessuno,"Via Della Spiga, 20","PG «lavoro servizi» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,KLASH S.R.L.,10174670967,Allestimento,90.02.01,Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli,944842,2024,128931,da 3 a 5,"Via Savona, 65/A","PG «klash» in milano: 5 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,THALIA LOGIC SERVICE SOC. COOP.,08510340964,Facchinaggio,52.24,Movimentazione merci,935393,,,,"Viale Misurata, 16","PG «thalia logic service» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,THE COLOR IS S.R.L.,10084410967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,888062,2022,260974,1,"Piazzale Lugano, 6","PG «color is» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DATA SOCIETA' COOPERATIVA,12070380964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,875515,,,,"Viale Lodovico Scarampo, 49","PG «data» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LA CELERE S.R.L.S.,11391970966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,827964,2022,291426,,"Via Hermada, 19","PG «la celere» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,T.G. STAND S.R.L.,09616210960,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",823873,2024,284265,da 10 a 15,"Via Teano, 21","PG «tg stand» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,OPPORTUNITA' LAVORO - SOCIETA' COOPERATIVA,10087510961,Facchinaggio,52.24,Movimentazione merci,805792,,,,"Via Cadore, 19","PG «opportunita lavoro» in milano: 11 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MASTERS ART SOCIETA' COOPERATIVA,10444700966,Facchinaggio,52.24,Movimentazione merci,799773,,,,"Via Gustavo Modena, 25","PG «masters art» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,L.G. COMPANY SRLS,11033720969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,781223,2024,551393,da 20 a 49,"Piazzale Martesana, 10","PG «lg company» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,FERMETAL SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,09192330968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,769747,2017,1034943,nessuno,"Via Filippo Argelati, 10","PG «fermetal» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MOVINGSERVICE SOCIETA' COOPERATIVA,12627350965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,760288,,,,"Via Giovanni Masera, 10","PG «movingservice» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MC LOGISTICS S.R.L.,12688570964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,752805,2024,355551,da 10 a 15,"Via Pietro Colletta, 65","PG «mc logistics» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LOG & JOB SERVIZI ALLE IMPRESE SOCIETA' COOPERATIVA IN FORMA AB BREVIATA LOG &,09997700969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,742375,,,,"Via Gustavo Modena, 25","PG «log job servizi alle imprese ab breviata log» in milano: 21 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,V.T. SERVIZI S.R.L.S.,11173970960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,725693,2020,,2,"Via Giacomo Antonini, 6","PG «vt servizi» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ENERGI SRL,04455580235,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,716218,2023,588828,da 20 a 49,"Via Boccaccio Giovanni, 39","PG «energi» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,EASY SOCIETA' COOPERATIVA,09462170961,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,711189,,,,"Piazza Quattro Novembre, 4","PG «easy» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,BIG BANG STUDIO S.R.L.,11630490966,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",694462,2024,,2,"Via Besana, 3","PG «big bang studio» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ECOGREEN A SOCIETA' COOPERATIVA,01686060193,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,645846,,,,"Via Arnaldo Fusinato, 10","PG «ecogreen» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,WORLDGARAGE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,13017900963,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,602019,2023,,,"Via Bernardo Quaranta, 45","PG «worldgarage» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MAXSERVICE S.R.L. - SEMPLIFICATA,10254810962,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,596074,2018,107388,da 3 a 5,"Foro Buonaparte, 59","PG «maxservice» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,J.D. GROUP S.R.L.S.,11174000965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,591059,2020,,1,"Via Giacomo Antonini, 6","PG «jd group» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MIRAY SOCIETA' COOPERATIVA,12064580967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,584674,,,,"Via Mecenate, 71","PG «miray» in milano: 17 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,AUDIO VISUAL ADVANCED ART -S.R.L.,03984920151,Allestimento,90.02.01,Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli,556908,2024,165454,da 3 a 5,"Via Carlo Valvassori Peroni, 74/2","PG «audio visual advanced art» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,QUATTR.0 SOC. COOP.,01802360162,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,539316,,,,"Piazza Quattro Novembre, 4","PG «quattr 0» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,F.T. SERVICE S.R.L.S.,11173980969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,528919,2020,,2,"Via Giacomo Antonini, 6","PG «ft service» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,INFINITY GROUP SRL,01803010196,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,508111,2024,65925,da 20 a 49,"Via Gaspare Spontini, 5","PG «infinity group» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DUE S.R.L.,09831530960,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",466988,2023,,,"Corso Di Porta Romana, 63","PG «due» in milano: 10 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,NUOVA MILANO COOPERATIVA LOGISTICA,09628360969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,448586,,,,"Via Correggio, 22","PG «nuova milano logistica» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,GAMMA SERVICE S.R.L.,02630500201,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,439740,2024,382750,da 20 a 49,"Foro Buonaparte, 59","PG «gamma service» in milano: 12 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,C. G. EVENTS S.R.L.,11620730967,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",435179,2024,,1,"Via Padova, 168","PG «cg events» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,NEW RAPID.COM SOCIETA' A RESPONSABILITA' LIMITATA,11086030969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,416186,2021,339279,1,"Via G Battista Pergolesi, 11","PG «new rapid com» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,PLANB DESIGN SRL,08731490960,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",388415,2023,,,"Via Gabriele Rossetti, 11","PG «planb design» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DEMETRA SERVIZI GENERALI - SOCIETA' A RESPONSABILITA' LIMITATA,09556450964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,386000,2017,481651,nessuno,"Viale Bianca Maria, 23","PG «demetra servizi generali» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,PONOS S.R.L.S. - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,13415630964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,383651,2024,334746,da 20 a 49,"Via Alessandro Astesani, 45/E","PG «ponos» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LOGISTIC S.R.L.,13078020966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,377862,2024,297965,da 20 a 49,"Via Argelati Filippo, 10","PG «logistic» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DJ BACKLINE S.R.L.,09403820963,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",376403,2024,60169,nessuno,"Piazza Carlo Caneva, 5","PG «dj backline» in milano: 3 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,BEST WORK LOGISTIC SOCIETA' COOPERATIVA,09664570968,Facchinaggio,52.24,Movimentazione merci,330695,,,,"Largo Quinto Alpini, 12","PG «best work logistic» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,WORK SER. SOCIETA' COOPERATIVA,12452630960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,326987,,,,"Via Alessandro Astesani, 45/E","PG «work ser» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LEVEL S.R.L.,13425930966,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",320113,2024,,1,"Via Molino Delle Armi, 3","PG «level» in milano: 5 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,CTS GROUP  SOCIETA' COOPERATIVA,10574510961,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",309796,,,,"Via G. Fantoli, 28/15","PG «cts group» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,CINERENT SRL,09282970152,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",278532,2024,,,"Via Pontaccio, 0019","PG «cinerent» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,TE.MA SOCIETA' COOPERATIVA,09320670962,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,275438,,,,"Viale Lunigiana, 46","PG «te ma» in milano: 15 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ARIVO SRL,01702560085,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,271829,2024,102041,da 10 a 15,"Via Bernardo Quaranta, 45","PG «arivo» in milano: 3 risultati, nessuno con nome e comune coincidenti"
Segrate,20.9,AUTOTRASPORTATORI ASSOCIATI LOMBARDI SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,04650950159,Facchinaggio,52.24,Movimentazione merci,3785099,,,,"Via Cuneo, 26","PG «autotrasportatori associati lombardi» in segrate: 25 risultati, nessuno con nome e comune coincidenti"
Segrate,20.9,WORK SERVICE S.R.L.,13205970968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1362150,2024,1191061,da 20 a 49,"Via San Bovio, 3","PG «work service» in segrate: 1 risultati, nessuno con nome e comune coincidenti"
Segrate,20.9,ATV EVENTI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11625300964,Allestimento,90.02.01,Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli,719615,2024,155574,1,"Via Delle Regioni, 30","PG «atv eventi» in segrate: 0 risultati, nessuno con nome e comune coincidenti"
Bareggio,21.5,GRUPPO 2M S.R.L.,07677090966,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1721518,2024,377632,da 10 a 15,"Via Monte Bernina, 39","PG «gruppo 2m» in bareggio: 15 risultati, nessuno con nome e comune coincidenti"
Pioltello,21.6,FM POWER S.R.L.,12512390969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1316111,2022,596494,da 50 a 99,"Via Del Santuario, 31","PG «fm power» in pioltello: 25 risultati, nessuno con nome e comune coincidenti"
Pessano Con Bornago,21.7,COOPERATIVA GESTIONE PARCHEGGI LA BRIANZA A R.L.  IN BREVE   C.G .P.B. SOC. COOP. A R.L.,04024520969,Facchinaggio,52.24,Movimentazione merci,496537,,,,"Via Montello, 15","PG «gestione parcheggi la brianza cg pb» in pessano con bornago: 1 risultati, nessuno con nome e comune coincidenti"
Cassina De' Pecchi,22.3,IN E OUT S.R.L.S.,12613130967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,559086,2023,483646,da 20 a 49,Via Roma,"PG «out» in cassina de' pecchi: 25 risultati, nessuno con nome e comune coincidenti"
Vittuone,22.5,NEW PUBLIDECOR SRL,10422100965,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",349585,2024,,1,"Via Volontari Della Liberta', 30","PG «new publidecor» in vittuone: 0 risultati, nessuno con nome e comune coincidenti"
Busto Garolfo,22.6,HADIS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11840220963,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2073909,2023,334604,da 20 a 49,"Via Manzoni, 15","PG «hadis» in busto garolfo: 0 risultati, nessuno con nome e comune coincidenti"
Ornago,22.7,MILANO SHOW RENT SOCIETA' A RESPONSABILITA' LIMITATA,03380430797,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1369895,2023,289508,da 6 a 9,"Via Ciucani, 2/9","PG «milano show rent» in ornago: 0 risultati, nessuno con nome e comune coincidenti"
Corsico,23.7,GABBIANO GROUP TRASLOCHI MILANO S.R.L.,13118570152,Facchinaggio,52.24,Movimentazione merci,378541,2024,158183,2,"Via Antonio Pacinotti, 46","PG «gabbiano group traslochi milano» in corsico: 1 risultati, nessuno con nome e comune coincidenti"
Gorgonzola,24.2,EMME SERVIZI S.R.L.,11989710964,Facchinaggio,52.24,Movimentazione merci,2665794,2023,2216771,da 50 a 99,"Via Milano, 37/C","PG «emme servizi» in gorgonzola: 5 risultati, nessuno con nome e comune coincidenti"
Gorgonzola,24.2,VOLCANO S.R.L.,11323440963,Facchinaggio,52.24,Movimentazione merci,1443978,2022,286028,da 10 a 15,"Via Milano, 37/C","PG «volcano» in gorgonzola: 2 risultati, nessuno con nome e comune coincidenti"
Gorgonzola,24.2,WORK LOG S.R.L.,13036890963,Facchinaggio,52.24,Movimentazione merci,1241773,2024,1264393,da 20 a 49,"Via Milano, 37/C","PG «work log» in gorgonzola: 0 risultati, nessuno con nome e comune coincidenti"
Gorgonzola,24.2,MACH SERVICES SRL,07745170964,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",402800,2023,134258,2,"Via Lazzaretto, 66","PG «mach services» in gorgonzola: 11 risultati, nessuno con nome e comune coincidenti"
Buccinasco,24.7,NK EVENTS S.R.L.,12463860960,Allestimento,90.02.01,Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli,1655371,2024,360868,da 6 a 9,"Via Pacinotti, 16","PG «nk events» in buccinasco: 0 risultati, nessuno con nome e comune coincidenti"
Buccinasco,24.7,LU.MA. SRL,10035920965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,569252,2023,589274,da 20 a 49,"Via Lazio, 77","PG «lu ma» in buccinasco: 21 risultati, nessuno con nome e comune coincidenti"
Gessate,25.2,SCRAP S.R.L.,13446660154,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,578709,2017,94199,1,"Via Bergamo, 8","PG «scrap» in gessate: 1 risultati, nessuno con nome e comune coincidenti"
Rodano,25.4,POWER S.R.L.,13188410966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,4189570,2024,1983626,da 50 a 99,"Via Alessandro Manzoni, 1/B","PG «power» in rodano: 25 risultati, nessuno con nome e comune coincidenti"
Trezzano Sul Naviglio,25.6,KVNC SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,13405530968,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",687323,2024,362014,da 20 a 49,"Via Vittore Carpaccio, 33","PG «kvnc» in trezzano sul naviglio: 0 risultati, nessuno con nome e comune coincidenti"
