Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Crigal Societa' A Responsabilita' Limitata (Cesano Maderno),0362 276544,Ingrosso e distribuzione,Commercio all'ingrosso di macchine utensili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.62 Commercio all'ingrosso di macchine utensili | fatturato 1.018.451 EUR (2023) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via Po, 31 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/crigal-societa-a-responsabilita-limitata-08744590962 | telefono: PG «crigal responsabilita limitata» in cesano maderno → Crigal Societa' a Responsabilita' Limitata | Via Po, 31 - 20811 Cesano Maderno (MB)",
Aquadepur Srl (Cogliate),"02 96469145, 02 96468154, 02 96460503",Metalmeccanica e officine,Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.29.91 Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico | fatturato 2.397.742 EUR (2024) | dipendenti da 6 a 9 | 4 km da Seveso | Via Guido Rossa, 28 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/aquadepur-srl-01847560024 | telefono: PG «aquadepur» in cogliate → Aquadepur S.r.l. | Via Rossa Guido, 28 - 20815 Cogliate (MB)",
Ci Effe Gomma Srl (Cogliate),"02 96461210, 02 96469379","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri prodotti in gomma nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.19.09 Fabbricazione di altri prodotti in gomma nca | fatturato 1.941.261 EUR (2024) | dipendenti da 10 a 15 | 4 km da Seveso | Via Montecatini, 9 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ci-effe-gomma-srl-02105220962 | telefono: PG «effe gomma» in cogliate → Ci Effe Gomma S.n.c. | Via Allende Salvatore, 10 - 20815 Cogliate (MB)",
Greenchemicals Srl (Desio),0362 688161,Ingrosso e distribuzione,Commercio all'ingrosso di prodotti chimici per l'industria,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.75.02 Commercio all'ingrosso di prodotti chimici per l'industria | fatturato 34.949.986 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Lavoratori Autobianchi, 1 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/greenchemicals-srl-01718920430 | telefono: PG «greenchemicals» in desio → Greenchemicals S.r.l. | Via Lavoratori Autobianchi, 1 - 20832 Desio (MB)",
S.i.p. Societa' Italiana Prototipi S.r.l. (Desio),0362 638009,Metalmeccanica e officine,Fusione di metalli leggeri,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 24.53 Fusione di metalli leggeri | fatturato 28.142.946 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Don Luigi Sturzo, 14 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/sip-societa-italiana-prototipi-srl-05509120969 | telefono: PG «italiana prototipi» in desio → S.I.P. Societa' Italiana Prototipi S.r.l. | Via Sturzo Don Luigi, 14 - 20832 Desio (MB)",
Otokar Italia S.r.l. (Desio),"0362 626247, 0362 629189","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 29.2 Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi | fatturato 27.036.542 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Caravaggio, 8 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/otokar-italia-srl-05087690961 | telefono: PG «otokar» in desio → Otokar Italia S.r.l. | Via Caravaggio, 8 - 20832 Desio (MB)",
Zero+4 S.r.l. (Desio),"0362 307454, 0362 628560","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Produzione di pasticceria fresca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 10.71.2 Produzione di pasticceria fresca | fatturato 17.358.473 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Lavoratori Autobianchi, 1 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/zero-4-srl-03189630167 | telefono: PG «zero» in desio → Zero+4 S.r.l. | Via Lavoratori Autobianchi, 1/15 - 20832 Desio (MB)",
Zappa Srl (Desio),"0362 623113, 0362 632358",Autoriparazione e ricambi,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Autoriparazione e ricambi | ATECO 45.11.01 Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri | fatturato 14.002.625 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Dolomiti, 58 - | GANCIO: Scheda intervento e ricambi: dall'accettazione alla fattura senza riscrivere | fonte companyreports.it/zappa-srl-02316090964 | telefono: PG «zappa» in desio → Zappa S.r.l. | Via Dolomiti, 58 - 20832 Desio (MB)",
Frascolla Srl (Desio),"0362 634521, 0362 634522",Ingrosso e distribuzione,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.49.1 Commercio all'ingrosso di carta, cartone e articoli di cartoleria | fatturato 13.885.049 EUR (2024) | dipendenti da 6 a 9 | 6 km da Seveso | Via Lavoratori Autobianchi, 1 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/frascolla-srl-01783180126 | telefono: PG «frascolla» in desio → Frascolla S.r.l. | Via Lombardia, 59 - 20832 Desio (MB)",
Stealth Light S.r.l. (Desio),0362 337850,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 27 Fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche | fatturato 10.450.919 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Lavoratori Autobianchi, 21/D - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/stealth-light-srl-06175150967 | telefono: PG «stealth light» in desio → Stealth Light S.r.l. | Via Lavoratori Autobianchi, 22/F - 20832 Desio (MB)",
Blickle Italia S.r.l. (Desio),0362 186731,Ingrosso e distribuzione,Commercio all'ingrosso non specializzato,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.9 Commercio all'ingrosso non specializzato | fatturato 8.402.438 EUR (2024) | dipendenti da 16 a 19 | 6 km da Seveso | Via Lavoratori Autobianchi, 1 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/blickle-italia-srl-02841240969 | telefono: PG «blickle» in desio → Blickle Italia S.r.l. | Via L. Autobianchi, 1 - 20832 Desio (MB)",
Centro Cash S.r.l. (Desio),0362 302033,Ingrosso e distribuzione,"Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.39.2 Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco | fatturato 8.132.371 EUR (2023) | dipendenti da 10 a 15 | 6 km da Seveso | Via Milano, 136 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/centro-cash-srl-05069300159 | telefono: PG «centro cash» in desio → Centro Cash S.r.l. | Via Rossini Giacomo, 141 - 20832 Desio (MB)",
Farina Ezio S.r.l. (Desio),"0362 620636, 0362 620209","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Produzione di calcestruzzo pronto per l'uso,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 23.63 Produzione di calcestruzzo pronto per l'uso | fatturato 7.999.560 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via San Bernardo, 10 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/farina-ezio-srl-03002350159 | telefono: PG «farina ezio» in desio → Farina Ezio S.r.l. | Via San Bernardo, 10 - 20832 Desio (MB)",
Ekosystem S.r.l. (Desio),0362 860654,Metalmeccanica e officine,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.96 Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori) | fatturato 6.780.135 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Carlo Forlanini, 69 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/ekosystem-srl-02695990131 | telefono: PG «ekosystem» in desio → Ekosystem S.r.l. | Via Forlanini Carlo, 69 - 20832 Desio (MB)",
La Meccanica Fumagalli Srl (Desio),0362 303542,Metalmeccanica e officine,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.95 Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori) | fatturato 6.443.642 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Lavoratori Autobianchi, S.N.C. - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/la-meccanica-fumagalli-srl-00884400151 | telefono: PG «meccanica fumagalli» in desio → La Meccanica Fumagalli S.r.l. | Via Lavoratori Autobianchi, 1/B - 20832 Desio (MB)",
Compo-tec S.r.l. (Desio),0362 631275,Ingrosso e distribuzione,"COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI  ATTREZZATURE E FORNITURE Commercio all'ingrosso di altri macchinari, attrezzature e forniture",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.6 COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI  ATTREZZATURE E FORNITURE Commercio all'ingrosso di altri macchinari, attrezzature e forniture | fatturato 3.653.508 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Viale Sabotino, 87 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/compo-tec-srl-09688710152 | telefono: PG «compo tec» in desio → Compo-Tec S.r.l. | Viale Sabotino, 87 - 20832 Desio (MB)",
Arti Grafiche Turati S.r.l. (Desio),"0362 638767, 0362 638742","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Altra stampa,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 18.12 Altra stampa | fatturato 3.562.990 EUR (2024) | dipendenti da 16 a 19 | 6 km da Seveso | Via Lavoratori Autobianchi, 1 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/arti-grafiche-turati-srl-08174730153 | telefono: PG «arti grafiche turati» in desio → Arti Grafiche Turati S.r.l. | Via L. Autobianchi, 1 - 20832 Desio (MB)",
Ficed Srl (Desio),0362 623693,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri fili e cavi elettrici ed elettronici,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 27.32 Fabbricazione di altri fili e cavi elettrici ed elettronici | fatturato 3.218.939 EUR (2024) | dipendenti da 6 a 9 | 6 km da Seveso | Via E. Ferrari, SNC - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ficed-srl-00769840158 | telefono: PG «ficed» in desio → Ficed | Via Enzo Ferrari, 4 - 20832 Desio (MB)",
Someca S.r.l. (Desio),0362 301585,Metalmeccanica e officine,Fabbricazione di strutture metalliche e di parti di strutture,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.11 Fabbricazione di strutture metalliche e di parti di strutture | fatturato 3.068.435 EUR (2024) | dipendenti da 16 a 19 | 6 km da Seveso | Via Maestri Del Lavoro, 7 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/someca-srl-09723330156 | telefono: PG «someca» in desio → Someca S.r.l. | Via Einaudi Luigi, 8 - 20832 Desio (MB)",
Sst S.r.l. (Desio),0362 933949,Metalmeccanica e officine,Fabbricazione di altre macchine di impiego generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.2 Fabbricazione di altre macchine di impiego generale | fatturato 3.048.934 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Viale Degli Artigiani, 24 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/sst-srl-03987510967 | telefono: PG «sst» in desio → Sst S.r.l. | Viale degli Artigiani, 24 - 20832 Desio (MB)",
Inox Plus Srl (Desio),"0362 303204, 0362 337773",Metalmeccanica e officine,Fabbricazione di strutture metalliche e di parti di strutture,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.11 Fabbricazione di strutture metalliche e di parti di strutture | fatturato 2.863.720 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Don Luigi Sturzo, 29 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/inox-plus-srl-06328580961 | telefono: PG «inox plus» in desio → Inox Plus S.r.l. | Via Mulinello, 28 - 20832 Desio (MB)",
Odel Srl (Desio),"0362 301064, 0362 300804",Metalmeccanica e officine,Fabbricazione di altre macchine di impiego generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.2 Fabbricazione di altre macchine di impiego generale | fatturato 2.826.497 EUR (2024) | dipendenti da 16 a 19 | 6 km da Seveso | Via Lavoratori Autobianchi, 1 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/odel-srl-01495480160 | telefono: PG «odel» in desio → Odel S.r.l. | Via Lavoratori Autobianchi, 1 - 20832 Desio (MB)",
A.l.a. Guizzi Srl (Desio),0362 825059,Metalmeccanica e officine,Fabbricazione di strutture metalliche e di parti di strutture,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.11 Fabbricazione di strutture metalliche e di parti di strutture | fatturato 2.297.473 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Arrigo Boito, 11 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/ala-guizzi-srl-03066920962 | telefono: PG «guizzi» in desio → A.L.A. Guizzi S.r.l. | Via Boito Arrigo, 11 - 20832 Desio (MB)",
O.m.f. Srl Societa' Con Unico Socio (Desio),0362 1793942,Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 2.257.615 EUR (2023) | dipendenti da 10 a 15 | 6 km da Seveso | Via Giuseppe Garibaldi, 143 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/omf-srl-societa-con-unico-socio-02085980965 | telefono: PG «unico socio» in desio → O.M.F. S.r.l. Societa' con Unico Socio | Via Garibaldi, 143 - 20832 Desio (MB)",
Ottavastrada S.r.l. (Desio),"0362 621093, 0362 621115","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altre apparecchiature per illuminazione,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 27.40.09 Fabbricazione di altre apparecchiature per illuminazione | fatturato 1.895.416 EUR (2020) | dipendenti da 10 a 15 | 6 km da Seveso | Via Lavoratori Autobianchi, 21/C - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ottavastrada-srl-09305020969 | telefono: PG «ottavastrada» in desio → Ottavastrada S.r.l. | Via Lavoratori Autobianchi, 22/N - 20832 Desio (MB)",
Sarmco Srl (Desio),0362 302774,Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 1.297.768 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Brescia, 125 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/sarmco-srl-08846820150 | telefono: PG «sarmco» in desio → Sarmco S.r.l. | Via Rossa Guido, 6 - 20832 Desio (MB)",
International Power Components S.r.l. (Giussano),"0362 853861, 0362 860811",Ingrosso e distribuzione,Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.52.09 Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici | fatturato 19.690.419 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Via Puccini, 40 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/international-power-components-srl-07943600150 | telefono: PG «international power components» in giussano → International Power Components S.r.l. | Via Puccini Giacomo, 40 - 20833 Giussano (MB)",
Veco S.p.a. (Giussano),"0362 35321, 0362 354434",Metalmeccanica e officine,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.25 Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione | fatturato 16.402.265 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Via General Cantore, 6 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/veco-spa-06633500159 | telefono: PG «veco» in giussano → Veco S.p.a. | Via Cantore General Antonio, 6 - 20833 Giussano (MB)",
Systema Srl (Giussano),0362 31391,Ingrosso e distribuzione,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.51 Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software | fatturato 13.193.033 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Viale Como, 40 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/systema-srl-02222170132 | telefono: PG «systema» in giussano → Systema S.r.l. | Viale Como, 40 - 20833 Giussano (MB)",
Riva S.r.l. (Giussano),"0362 687500, 0362 687534",Ingrosso e distribuzione,Commercio all'ingrosso di altri mezzi ed attrezzature di trasporto,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.69.19 Commercio all'ingrosso di altri mezzi ed attrezzature di trasporto | fatturato 6.422.532 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Via Udine, 7/A - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/riva-srl-02607240963 | telefono: PG «riva» in giussano → Riva S.r.l. | Via Udine, 7/A - 20833 Giussano (MB)",
Olcelli Farmaceutici S.r.l. (Giussano),0362 355194,Ingrosso e distribuzione,"Commercio all'ingrosso di te', cacao e spezie",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.37.02 Commercio all'ingrosso di te', cacao e spezie | fatturato 6.176.961 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Via San Damiano, 24/A - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/olcelli-farmaceutici-srl-04192740969 | telefono: PG «olcelli farmaceutici» in giussano → Olcelli Farmaceutici S.r.l. | Via S. Damiano, 24/A - 20833 Giussano (MB)",
Cm Automazione S.r.l. (Giussano),"0362 861222, 0362 314075, 366 4106330",Metalmeccanica e officine,Fabbricazione di altre macchine di impiego generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.2 Fabbricazione di altre macchine di impiego generale | fatturato 6.034.548 EUR (2024) | dipendenti da 10 a 15 | 7.5 km da Seveso | Via Monte Bianco, 20 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/cm-automazione-srl-02438080133 | telefono: PG «automazione» in giussano → CM Automazione S.r.l. | Via Monte Bianco, 20 - 20833 Giussano (MB)",
Metalflex S.r.l. (Giussano),"0362 239427, 348 3461585",Metalmeccanica e officine,Fabbricazione di strutture metalliche e di parti di strutture,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.11 Fabbricazione di strutture metalliche e di parti di strutture | fatturato 3.518.110 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Via Ticino, 6 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/metalflex-srl-08686000962 | telefono: PG «metalflex» in giussano → Metalflex SRL | Via Ticino, 6 - 20833 Giussano (MB)",
Tieffea Srl (Giussano),0362 857295,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di parti e accessori di mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.4 Fabbricazione di parti e accessori di mobili | fatturato 3.485.368 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Via Luigi Pirandello, 30-30/A - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/tieffea-srl-00200160133 | telefono: PG «tieffea» in giussano → Tieffea | Via Pirandello Luigi, 30/A - 20833 Giussano (MB)",
Rigamonti Stampi Srl (Giussano),"0362 354813, 0362 286225, 0362 258108",Metalmeccanica e officine,"Fabbricazione di stampi, portastampi, sagome, forme per macchine",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.73.2 Fabbricazione di stampi, portastampi, sagome, forme per macchine | fatturato 3.264.091 EUR (2023) | dipendenti da 16 a 19 | 7.5 km da Seveso | Via Marco Polo, 45 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/rigamonti-stampi-srl-02350330151 | telefono: PG «rigamonti stampi» in giussano → Rigamonti Stampi S.r.l. | Via Polo Marco, 25 - 20833 Giussano (MB)",
Calzificio Italiano Srl (Giussano),0362 311016,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di articoli di calzetteria in maglia,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 14.31 Fabbricazione di articoli di calzetteria in maglia | fatturato 2.571.479 EUR (2024) | dipendenti da 20 a 49 | 7.5 km da Seveso | Via Giuseppe Verdi, 68 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/calzificio-italiano-srl-02346330968 | telefono: PG «calzificio italiano» in giussano → Calzificio Italiano S.r.l. | Via Verdi Giuseppe, 68 - 20833 Giussano (MB)",
Tbt S.r.l. (Giussano),0362 311464,Metalmeccanica e officine,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 33.20.03 Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali) | fatturato 2.419.130 EUR (2024) | dipendenti da 10 a 15 | 7.5 km da Seveso | Via Catalani, 110-112 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/tbt-srl-09113890967 | telefono: PG «tbt» in giussano → Tbt S.r.l. | Via Verdi Giuseppe, 75/C - 20833 Giussano (MB)",
